# any empty lines and lines starting with '#' symbol is ignored
#
# The file should contain exactly two sections: router and link, each starting with the corresponding keyword
#
# router section defines topology nodes and their relative positions (e.g., to use in visualizer)
router

# each line in this section represents one router and should have the following data
# node     comment          yPos    xPos



########### access-network-A #############
C4B       RB     1Gbps     1    10ms     10
C5B       RB     1Gbps     1    10ms     10
C6B       RB     1Gbps     1    10ms     10
C7B       RB     1Gbps     1    10ms     10
C8B       RB     1Gbps     1    10ms     10
C9B       RB     1Gbps     1    10ms     10
C10B      RB     1Gbps     1    10ms     10
C11B      RB     1Gbps     1    10ms     10
C12B      RB     1Gbps     1    10ms     10
C13B      RB     1Gbps     1    10ms     10
#############################################
P1B       RB     1Gbps     1    10ms     10
P3B       RB     1Gbps     1    10ms     10
P5B       RB     1Gbps     1    10ms     10
P7B       RB     1Gbps     1    10ms     10
P9B       RB     1Gbps     1    10ms     10


####### access-network-C #####################
C1C       RC     1Gbps     1    10ms     10
C2C       RC     1Gbps     1    10ms     10
C3C       RC     1Gbps     1    10ms     10
C4C       RC     1Gbps     1    10ms     10
C5C       RC     1Gbps     1    10ms     10
C6C       RC     1Gbps     1    10ms     10
C7C       RC     1Gbps     1    10ms     10
C8C       RC     1Gbps     1    10ms     10
C9C       RC     1Gbps     1    10ms     10
C10C      RC     1Gbps     1    10ms     10
C11C      RC     1Gbps     1    10ms     10
C12C      RC     1Gbps     1    10ms     10
#############################################
P1C       RC     1Gbps     1    10ms     10
P3C       RC     1Gbps     1    10ms     10
P5C       RC     1Gbps     1    10ms     10
P7C       RC     1Gbps     1    10ms     10
P9C       RC     1Gbps     1    10ms     10


####### access-network-D #####################
C1D       RD     1Gbps     1    10ms     10
C2D       RD     1Gbps     1    10ms     10
C3D       RD     1Gbps     1    10ms     10
C4D       RD     1Gbps     1    10ms     10
C5D       RD     1Gbps     1    10ms     10
C6D       RD     1Gbps     1    10ms     10
C7D       RD     1Gbps     1    10ms     10
C8D       RD     1Gbps     1    10ms     10
C9D       RD     1Gbps     1    10ms     10
C10D      RD     1Gbps     1    10ms     10
C11D      RD     1Gbps     1    10ms     10
C12D      RD     1Gbps     1    10ms     10
#############################################
P1D       RD     1Gbps     1    10ms     10
P3D       RD     1Gbps     1    10ms     10
P5D       RD     1Gbps     1    10ms     10
P7D       RD     1Gbps     1    10ms     10
P9D       RD     1Gbps     1    10ms     10

########### core network with access ########
RA       R6      10Gbps     1    10ms     10
RB       R8      10Gbps     1    10ms     10
RC       R2      10Gbps    1    10ms     10
RD       R1      10Gbps    1    10ms     10


########### core network    #################
R1       R2      10Gbps     1    10ms     10
R1       R3      10Gbps     1    10ms     10
R2       R5      10Gbps     1    10ms     10
R3       R6      10Gbps     1    10ms     10
R3       R7      10Gbps     1    10ms     10
R4       R5      10Gbps     1    10ms     10
R4       R7      10Gbps     1    10ms     10
R5       R8      10Gbps     1    10ms     10
R6       R7      10Gbps     1    10ms     10
R7       R8      10Gbps     1    10ms     10


